,Unnamed: 0,saudi-line
1989,2013,لا والله وانت اصلا مين سمحلك تدخل دولابي ها
1990,2014,اقوول انا من الصبح وانا اظبط لك في الغرفه وارتب واحووس وفي الاخير تقوليلي كدا بدل ماتشكريني وتبوسي يدي علي الاشياء الي لو تموتي محد يسوها لج حتي زوجك المستقبلي تلاقيه بيشيلك ويحذفك من الطاقه لو زعلتي
1991,2015,ماتدري ه لا والله ما اموت انا بس ااشر والكل يلبي هاي
1992,2016,يغير من ملاحمه ويصير جدي بجد عجبتج الاشياء ولالا
1993,2017,تبغا تقهره لا وع ايش دا ذوقك مو حلو مره
1994,2018,انقهر طيب انا الغلطان الي اعبرك اصلا وبعدين دا مو ذوقي دا ذوقج انا جبتلك الاشياء الي تحبيها وتعجبج يعني المفروض تطيري من الفرح مو تبوزيلي كدا وجع تقهري
1995,2019,ه ههاي
1996,2020,وبعد الهاي هادي ايش
1997,2021,بعدها ويقطع عليها كلام رنه جوالها
1998,2022,وهيا ترد علي الجوال بعدها الو
1999,2023,ايش بعدها الو هادي
2000,2024,يؤ ماني فاهمه شي
2001,2025,احسن لاتفهمي شي
2002,2026,بتكلمي مين انتي
2003,2028,مره مقهوور منها سوا لها كل دا وما قلتله شكرا حتي وبعدين تقعد تهزئه كدا قدام الي بتكلمه
2004,2029,ه والله انك رهيبه تقولها بطريقه غريبه عشان توضح بس
2005,2030,نط من مكانه لمن سمع وفتح عيونه وفمه علي الاخر
2006,2031,ه هاي دقيقه الادمي الي هنا اتخبل خليني اشوفههي انت ايش صار لك مت ولا لسه
2007,2032,يؤ وليه امووت
2008,2033,وانا ادري شوف كيف صار شكلك لمن قلتلك
2009,2034,ها لا انا بس استغربت مو هوا انتي كنتي متزاعله معاها كيف صرتي تكلميها
2010,2035,زي ما انا بكلمك دحين
2011,2036,مافهمها في البدايه بس في الاخر فهم انها خلاص ماهي زعلانه ففرح وراح باس راسها وطلع من الغرفه
2012,2037,اتخبل الولد ب
2013,2038,هي انتي سايبتني ملطوعه ساعه ولا تردي
2014,2039,معليه بس اخويا اتجنن اليوم
2015,2040,والفضول اكلها بعد ما سمعت اسم بالموضوع وليه يعني ايش عمل
2016,2041,ه انا اول كنت متزاعله ومتخاصمه معاه هوا كمان واليوم لمن رجعت من المدرسه دخلت غرفتي وفتحت النور لقيت الغرفه مليانه دبايب كبيره وصغيره و اشكالها تجن وباقات ورود حمره خطييره وكم قلب احمر يعني الغرفه كان شكلها جنان
2017,2042,وا او
2018,2043,اصبري بعدين لمن دخلت الغرفه من يوم ماحطيت رجلي جوتها اشتغل باغنيه رضا والله وراضيناك تعرفيها صح
2019,2044,ايوه وبعدين
2020,2045,بس قعدت احوس في الغرفه واشوف الاشياء وفجئه تتطلعي اغنيه تانيه حقت الله لايجيب الزعل بينك وبيني ام مين يغنيها ايوه وبعدين قعدت اقول اطلع ومدري ايش فصار يتكلم من
2021,2046,كيف يتكلم
2022,2047,يعني متخبي في الغرفه ويتكلم
2023,2048,اها ايوه وبعدين
2024,2049,وبس في الاخر طلعلي من دولاب ملابسي وقعد يتريق ومدري ايش ودوبه باس راسي وراح ه و
2025,2050,ايوه والله تدري هالولد خطير رومنسي وعاطفي بشكل رهييب يالله الله يهني فيه زوجه المستقبل ولو انها يعني بتاخد مني احسن اخو واء تقول هالكلام بطريقه شوي شوي فيها تلميح
2026,2051,حست انه بتلمح علي حاجه بس ما علقت
2027,2052,طيب ما قولتيلي علي ايش مناسبه كل دا
2028,2053,ه يبغا يراضيني بس انا ما عطيته وجه
2029,2054,يؤ حرام عليكي بعد كل دا والله انا لو مكانك اقوم احضنه وابوسه انتبهت للكلمتين الاخيره بس تقصد لو اخوها يعني
2030,2055,ه هه
2031,2056,ه ماشي بس افتكرت شي يضحك
2032,2057,ه ايش يعني ماشي هادي انا اعرف الناس يقولو ولا شي
2033,2058,ه يعني مافي شي يضحك
2034,2059,اها فهمتك يالمزدوجه
2035,2060,ايش مزدوجه هادي
2036,2061,ايه انا اصلا حركات
2037,2062,ادري واحلي شي فيك لمن تتكلمي اماراتي بس الله يهديك ماتتكلمي كتيـر
2038,2063,ه شطوره اقلك دقيقه
2039,2065,ها نعم ايش تبغي
2040,2066,جي اتلقف انا حر
2041,2067,لا والله
2042,2068,وهوا يجلس علي سريرها ايو والله من جد يلا خلصي مكالمتك وانا اتفرج عليكي
2043,2069,شايفني تلفزيون ولا فيلم لا لو سمحت اطلع بري ما اعرف اتكلم واحد معايا في الغرفه
2044,2070,اقول اقلبي وجهك يالله انا اخوكي وحر اسوي الي ابغا
2045,2071,وخير ياطير اخويا يعني ملكتني
2046,2072,لا مو ملكتك بس مسؤول عنك وحر اسوي فيك الي ابغا
2047,2073,بالله ايش طيب يالمسؤول عني فارق بكلم صحبتي
2048,2074,ايش اسمها
2049,2075,وانت ايش دخلك باسمها
2050,2076,بس كدا يمكن احبها ولا اتزوجها مستقبلا ه
2051,2077,ه لا والله طيب يالحبيب فارق
2052,2078,لوتموتي علي قلبك
2053,2079,اقوول حبيبتي مطره اقفل اخويا مطفشني تامري بشي
2054,2080,لا سلامتك خليك برايك انا اصلا ابغا انام
2055,2081,ه بس برضو عرفت اسمها اله حلووه اسمها يجنن علي الاقل احسن من ووعع ايش دا ه
2056,2082,هيههيهي يافرحتك يعني انت الي اسمك يجنن مووت اسكت بس اسس اصلا اسم مني احلي من اسمك بالف مره
2057,2083,والله ام اسم كله موسيقي ونغم ورووعه وجمال زي صاحبه ه
2058,2084,ه والله انك اهبل اقول ماتبغا تذاكر ايش الي خرجك من غرفتك غريبه مو بالعاده
2059,2085,والله طفشت ومليت وبعدين ياحبيبتي انا ما بذاكر حب في دي المذاكره الحلوه والي تخلي الواحد يتجنن عليها انا اذاكر عشان مستقبلي مو زيك مطيحه امسك ويومك
2060,2086,ياربي بدا ابو الفلاسف
2061,2087,ه انا بطلع
2062,2088,يكون احسن
2063,2089,والله مو عشانك بس عشني رايح لـ تقول تبغاني في شغله
2064,2090,شغله ايش
2065,2091,ايش يعرفني هيا قالتلي تعال وبتعرف يلا عن اذنك ما ابغا اتاخر عليها
2066,2092,ويطلع ويروح لـ مي ويقضو اشغالهم
2067,2093,وبعد سنتين من كل هالمواقف اتغيرت اشياء كثير من ضمنها
2068,2094,دخلو الجامعه وصارو تاني جامعه جاب في الثنوي مجموع عالي جدا دخل قسم الطب ومني جابت و دخلت قسم فن دخلت الثنوي طبعا وصارت تاني ثنوي الغايب الي محد يدري عنه الا فين وفين مارجع البلد من داك اليوم غير مرتين سلم فيها علي اهله ورجع تاني قعدو علي حالهم علي حالهم مضاربات ومخاصمات كل يوم
2069,2095,صار سنه اولي ابتدائي بس برضو ما تغير حاله ولا لهجته مازال طفل كانه عمره خمسه سنين مو سبعه صار سنه تالت ابتدائي وبدا يحسب نفسه كبير وما يقعد الا مع الكبار ودايما يعمل فيها الاخو الكبير علي اخوه ودا حالهم كل يوم
2070,2096,دخلت الجامعه اول سنه قسم حاسب الي وصارت تقريبا قريبه من اكتر لانها داميا تشوفها بالجامعه
2071,2097,صحته اتدهورت الفتره الاخيره وصار يتعب كتير في الفتره المؤخره واغلب اوقاته في المستشفي وما صار يروح شركه العيله واعطا مسؤوليته لاخوه
2072,2098,صارت طول الوقت مع جوزها وخايفه عليه بعد كل الي حاصل لهم اتعلقت في ابوها وامها اكتر وصارت كل يوم لازم تسلم علي راسهم وتقعد معاهم تشوف احوالهم كل يوم قبل ماتروح الجامعه تقعد معاهم وتفرفشهم الين ماصارت بسمه البيت الي يقدرو يستغنو عنها ودايما تحاول ترفع معنويات ابوها الي صارت جدا واطيه بعد ما قالوله الدكاتره انه صحته جدا تعبانه ولو قعد علي هالوضع وهالنفسيه راح يتهدور اكتر
2073,2099,في بيت
2074,2100,ماصار عندهم جديد ولدهم الي الي الان في غربته يجيهم مره بالسنه ويطمن علي احوالهم في البدايه كان زعلان مره علي فراق ولده الوحيد لكن في الاخر اتعود وانشغل بالشغل لانه صار عنده مسؤوليه كبيره في شركه العيله بعد ما اتقاعد
2075,2101,وفي بيت
2076,2102,ظل حالها زي ماهيا حب في قلبها متاصل ومتعمق وماهي مستعده تتنازل عنها برغم انه الكتير حاولو يدقو هالباب كم مره لكنها رافضه رفضا باتا احد يدخل قلبها لانه محجوز دخلت الجامعه مع طبعا بعد ماجابت نسبه بسبب حالتها النفسيه الي كانت متدهوره ولا هيا كانت من الممكن تجيب اعلي من كدا المهم دخلت مع فن ديكور وعلاقتها زي ماهيا
2077,2103,الي حاله مستقر حاليا اشتغل وصار موظف في بنك لكنه دايما يفتكر لكنه يحاول ينسي نفسه اسم ويمحيه من خياله وباله لانه ما يبغا يتعلق في حبال الاوهام والاحلام زي ما قالتله هيا اخر مره
2078,2104,ونرجع لاحداثانا
2079,2105,هي انت يا ابو الشباب
2080,2106,فين وصلت
2081,2107,الي كان مره مو منتبه له كان في عالم تاني في عالم احلامه وذكرياته قعد يفتكر اخر ذكري له مع ويوم ما كلمها
2082,2108,طيب ليه ليه تحطميني وتهدميني
2083,2109,كم مره قلتلك انا مو مستعده اربط نفسي بحبال الهوي والاوهام والاحلام انا احب اعيش في الواقع وغير الواقع ما ابغا
2084,2110,هادي تالت محاوله ليا لاتحطميني وتنهيني مهما كان الي انتي تبغيه
2085,2111,انا قلتلك رايي في هالموضوع سابقا وانت مجرد اخ زي ما اختك هيا اختي
2086,2112,طيب انتي حره وانا ماعمري احب افرض نفسي علي اي انسان مهما كان انا اعطيتك هالفرصه بس خلي في بالك انك انتي الي حطمتيهاا ونهيتي كل شي حلو كان من الممكن يكون بيننا
2087,2113,اصلا ما انتظر منها جواب وقفل السماعه
2088,2114,في نفسه انسانه ماعندها ذره دم ولا احساس كيف ماتفهم اقلها احبك تقولي مدري ايش الله اووف ايش اقول بس ما اقول غير الله يوفقها وحياتها ويسعدها حتي لو انا بعيد عنها ويقطع تفكيره ضربه علي كتفه
2089,2115,اح ايش في ايش تبغا
2090,2116,ليا ساعه اتكلم ولا تعبرني فين وصلت
2091,2117,اوصل محل ما اوصل انت اشلك ياخي
2092,2118,لساتك بتفكر فيها ماتعقل انت بعد كل الي قالتلك هوا كمان بتفكر فيها خلي عندك كرامه ياخي عارف بالموضوع وهوا صاحب من زمان وعارف عنه كل شي
2093,2119,مين قلك اني كنت بفكر فيها بس هموم واشغال الدنيا ماترحم احد وانت اشلك اصلا
2094,2120,علينا
2095,2121,ايوه عليكم يلا اهمد عندي شغل
2096,2122,طيب طيب خد راحتك علي الاخر بس لاتقولي بكره ليه ماقولتلي وليه ما اخدتني معاك ومدري ايش
2097,2123,ليه ايش صار وفين رايح
2098,2124,ه اشتغلت اللقافه
2099,2125,هيا انقلع ما ابغا اعرف شي تبغا تذلني
2100,2126,لا ياحبيب قلبي ما عاش من يذلك بس بمزح معاك
2101,2127,طيب ايش موضوعك قلي بسرعه وفكني
2102,2128,طيب ام كم تديني عشان اقلك
2103,2129,قرش ينفع
2104,2130,لالالا مره ما ينفع قرشين يكفوو
2105,2131,هاني تري والله طفشتني
2106,2132,خلاص طيب بقولك
2107,2133,ايش تستني قول
2108,2134,رايحين انا والشباب ناخد فله في وحده من الكباين علي البحر ونقعد فيها كم يوم وننبسط ايش رايك تجي معانا
2109,2135,والله طب حلوو خلاص اجل احجزولي معاكم مكان
2110,2136,خلاص ويلا اس اس شوف جا المدير
2111,2137,يضحك علي خبال صاحبه ويكمل شغله بهدووء
2112,2138,وفي عالم اخر في امريكا وتحديدا عند في شارع فاضي وبسياره تنطلق زي لمح البصر
2113,2139,هدي السرعه شويه الله يخليك بتموتنا ياخي
2114,2140,وهوا بنطلق بسيارته باسرع سرعه بالكون اسكت انت بس
2115,2141,قلتلكم اسكتو
2116,2142,يسعد صباح احلـي اب في الدنيا كلها
2117,2143,وهوا مبسوط ياهلا والله حبيبتي يسعد صباحك
2118,2144,هلا فيك كيفك يا ابويا اليوم
2119,2145,بطلتك الحلوه هادي صرت تمام التمام
2120,2146,دوم يارب
2121,2147,الله يخليك يارب ها منتي رايحه الجامعه اليوم
2122,2148,وهيا ماده بوزها ليه تبغا تفتك مني يعني تمثل دور الزعلانه
2123,2149,ماعاش من يفتك منك حبيبتي وبعدين احد يفتك من عمره وحياته ماتجي
2124,2151,ها ااي بدت الغيره بدت
2125,2152,غيره في عينك انا اغار من وحده زيك
2126,2153,ايوه والله صح ماتنفع احد يغار من القمر ماتجي والله هاي
2127,2154,ياشين الثقه بسس
2128,2155,ه من متي انتي هنا
2129,2156,من يوم مابدا الغزل الي عيني عينك حياتي وعمري وانا فين رحتي
2130,2157,في قلبي فين يعني ه
2131,2158,لا يابويه ماينفع تلعب علي الحبلين انتا
2132,2159,ه سيبيكي منه ابوكي دا نصاب يلعب علي الكل بس عليا ما يقدر وتغمز للمي
2133,2160,ه ه
2134,2161,اله علي دي الضحكه الحلوه صار لي زمان ماسمعتها بس جت سليمه
2135,2162,الله يخليكم لي يارب والله من جد ماضحكت من زمان زي اليوم
2136,2163,ويخليك لنا يارب ايوه ياخويا فك عن نفسك كدا تري لمن تضحك الدنيا تتضحك لك وانت الي قافل علي نفسك محد قافل عليك
2137,2164,حبت تغير الموضوع ايوه يا بويا ماتبغا تسفرنا السنه
2138,2165,والله مدري انا تعبان الصراحه وما اعتقد اقدر
2139,2166,لا يا بابا مافي ابغا اسافر يعني ابغا اسافر
2140,2167,لاتضغطي علي ابوكي
2141,2168,والله ما اضغط عليه بس هوا يقعد يقول انا تعبان انا تعبان ويوهم نفسه ويحط المرض فيه بالقوه و هوا مافيه الا الصحه والعافيه بس الدلع حقه قاتله
2142,2169,الي مو حاب يكسر بخاطر بنته الوحيده خلاص شوفي فين تبغي تروحي وانا اوديكي انتي تامري بس
2143,2170,وهيا تبوس راس ابوها ياي يسلملي احلي اب بالدنيا
2144,2171,بس احلي اب
2145,2172,واحلي ام ه ايش تبغي كمان
2146,2173,تخفي دلعك شويه
2147,2174,طب ليه تري والله الدلع حلوو
2148,2175,خليها كدا يا انا مبسووط بيها وبي دلعها
2149,2176,وهيا تلف يدينها علي ابوها وهيا واقفه وراه شفتي كيف ابويا حبيبي يعاملني ومايقدر يرفضلي طلب وتبوسه علي خده وتروح تجري لغرفتها وهيا تضحك بعد ماتشوف الشرر الي طاير من عيون امها
2150,2177,والله محد مخربها الا انت
2151,2178,كم بنت عندي قوليلي
2152,2179,وحده واحلي وحده بس كل شي بحدود
2153,2180,صحيح وهيا ماطلبت شي غير مقدور عليه او حرام لاسمح الله
2154,2181,انت صحتك بالدنيا وماتقدر علي السفر
2155,2182,والله بنتي بالدنيا وبعدين مين قلك اني عجزت او خرفت خلاص انا لساني بصحتي واقدر الف بيكم العالم لو تبغوو
2156,2183,مدام كدا ليه سبت شغلك وقاعد لي متسمر هنا قدام دي الصوره صوره الي يقعد كل يوم يتاملها ويجلس عندها بالساعات ومايفرقها الا عند النوم
2157,2184,صحيح كان غالي علينا كلنا وانا اكتر منك كمان وتدري انت ايش صار بحالي بس ما اربط نفسي كدا واعلق حياتي بماضي راح وفات عليه اربع سنين
2158,2185,هالاربع سنين عندي كانهم اربع ثواني انا للحين احس ان الحادث الي صار اليوم مو امس ولا قبل اربع سنين احس معايا في البيت احسه بيجي يسلم عليا في الصبح زي كل يوم احسه حيجيني العمل في المكتب ويطلب اجازه وارفض له كالعاده احسه واحسه كتير اشياء ما اقدر اتجاهلها واولها اسمي واسمك الي مربووط بيه يعني جزء مننا لا يمكن ننساه او حتي نتناساه
2159,2186,ماعرفت ايش تقول فعجزت منه وقررت تغير الموضوع
2160,2187,الا ما قلتلي ردك في موضوع كلمتني اليوم تقولي اسالي البنت عشان بس نسوي خطبه وبعد ما يتخرجو ويشتغل نسوي الزواج
2161,2188,نعم ايش لا مافي ايش الكلام الفاضي هادا
2162,2189,يؤ ايش صارلك انا قلت حاجه غلط
2163,2190,كل الي قلتيه غلط في غلط وبعدين ماتعرف لا الاصول ولا التقاليد ماتعرفي انه لازم هوا الي يكلمني اول لازم وبعدين كيف تستشيري البنت وانا ما استشرتيني
2164,2191,وانا ايش بسوي دحين
2165,2192,صح بس هيا ماقالتلك
2166,2193,ويعني
2167,2194,قوليلها احنا مالنا دخل الرجال يتفاهمو ولو يبغا لي ولده صحيح ما بنلقا احسن منهم ومستحيل نردهم بس لازم هوا الي يكلمني مو
2168,2195,خلاص طيب انا بقولها ويالله عن اذنك ابغا اروح اطبخ الغدا
2169,2196,قعد يتفرج علي الصوره المعلقه في الجدر وهوا في غايه الحزن والالم والمراره وتنزل دمعه من عينه علي ولده حبيبه اغلي شي فقده في هالدنيا والي اتمناه يكون جنبه في موقف زي هادا موقف زواج اخته
2170,2197,وفي الجهه التانيه من العالم وتحديدا بمدينه لندن في بريطانيا
2171,2198,يالله امشي بسرعه
2172,2199,ها طيب جي
2173,2200,يا بطئك
2174,2201,نسيت انه اليوم العلاج الطبيعي حقي
2175,2202,ايوه والله صح طيب امشي
2176,2203,وهوا يرتكز علي عكازه يالله انت قدامي
2177,2204,حال اتحسنت عن اول سوا له عمليه خلت له امل ان يمشي والعمليه نجحت ميه في الميه بس الي بقي شويه علاجات طبيعيه وبعض التمارين ويرجع زي ماكان صاخ سليم وهوا حاليا مايقدر يمشي الا بعكازين الين مايشفي تماما ما غابت عن باله بالعكس كبر حبه لها وزاد اشتايقه لها وبيمووت من القهر والنار الي بتسري في جوفه مقهور علي النهايه الي هوا سواها بيده وعلي التحطيم الي حطم بيه احلي قصه حب في عمره والي قتله دايما يقول في نفسه ليه ما استنيت ليه مافكرت اني ممكن اتعالج ليه لييه ياخساره فقدتك مرتين والندم بيقتلنيي
2178,2205,الي كان معاها خطوه بخطوه ما سابه دقيقه مبسوط ويحاول يكفر عن ذنبه اتغير كتيير عن الي كان عليه في السعوديه حاول يتغير وبالفعل انه قدر بس ببطئ شديد ودايما الي يدفعه للتقدم والتغيير اهم ثلاث ع في حياته حاليا بدء يحس بقيمه ولده الي فوقته علي حبه وعلي غلاه عنده كان مستعد يرجع السعوديه اليوم قبل بكره عشان ياخد ولده في حضنه ويعطف عليه ويعوضه عن حنان الاب والام الي فقده وهوا في اول سنتين له بي هالدنيا بس مايقدر يرجع ويسيب صديق عمره الي كان هوا السبب في تحطيم حياته كان ندمان اشد الندم علي تفرطيه بولده وعلي افعاله السابقه الي الان هوا بيدفع ثمنها وكان دايما يقول في نفسه ليه ما اخدت معايا ليه ما قدرت قيمته الا بعد ما فوقتني مي كيف اغفل عن اغلي واثمن شي بعمري الشي الوحيد الي طلعت بيه من كيف وياخساره فقت بعد ما فات الفوت وبعد ماضيعت نفسي وصديقي واهلي ااه يا خساره بس كل شي بيتصلح من يوم ما ارجع السعوديه
2179,2206,جيد جدا ممتاز اتحسنت حالتك بصوره غير طبيعيه وهادا يفيدنا بشكل كبير
2180,2207,حقيقي يادكتور يعني انا شفيت تقريبا
2181,2208,ايوه طبعا اتحسنت حالتك بشكل غريب اول مره اشوفه
2182,2209,كيف يعني يادكتور
2183,2210,يعني انا دايما اقابل زي حالت بس ماقد شفت حاله اتحسنت ولو اتحسنت تتحسن ببطئ شديد لكن بوقت قياسي قدر يتحسن
2184,2211,اي بوقت قياسي الله يهديك صارلي اكثر من سنتين وانا عندكم
2185,2212,طيب ممتااز جدا في ناس يتحسنو بعشر سنين مو اتنين بس
2186,2214,لا ولا شي
2187,2215,طيب انا دحين رايح تبغي شي
2188,2216,طيب و يا اخ خليه يلتزم بالعلاجات الطبيعيه لمده اسبوعين كمان بعدين خلوني اشوفه
2189,2217,طيب مو مشكله
2190,2218,والله من جد ما اتوقعت اتعافي
2191,2219,ربنا ما ضيع دعائنا علي الفاضي
2192,2220,وهوا ينظر لصاحبه باعطف واحن نظره نظره كلها ممنونيه وتقدير اشكرك لولا الله ثم انت ماكان صار دا حالي وما كان اتحسنت
2193,2221,لاتقول كدا وبعدين قبل ما اكون انا السبب في الي صار لك انت اكثر من اخ وانت غالي وعزيز ولو تطلب عمري ما بقصر معاك
2194,2222,الله لايحرمني منك يارب
2195,2223,امين ولا منك
2196,2224,طيب يلا قوم بلا هالرسميات ه وخلينا نروح نفسي ارهف عن نفسي شويه
2197,2225,وهوا مبسوط ه الله يقطع ابليسك ه يالله مشينا
2198,2226,وفي مستشفي تانيه وبالتحديد مستشفي في مدينه
2199,2227,يفتح عينه ويشوف نفسه علي سرير ابيض وبغرفه غريبه وفوق راسه كذا شخص وهوا مو مستوعب ايش الي بيصير وايش الي حصل ومين دولا الناس
2200,2228,لاتخاف يا اخ انت بخير
2201,2229,انا فين ومين انتو
2202,2230,ليه ايش صار
2203,2231,ماصار شي غير انك سويت حادث انت واتنين من اصحابك
2204,2232,وهوا مفجوع ويحاول يجلس وهوا يتاوه اه صار لهم شي
2205,2233,الدكتور وهوا يرجع لوضعه علي السرير لا بخير مافيهم حاجه انت بس الوحيد الي انصبت واصابتك خفيف ماتضر وخليك كدا انت لساتك تعبان
2206,2234,بعد ماهدء شويه شكرا يا دكتور
2207,2235,العفوو بس انت راح تجلس عندنا يومين علي بال ماتتعدل صحتك لانه اصابك كسر في رجلك وشويه رضوض في جسمك فما نقدر نخرجك الا لمن تتحسن
2208,2236,مو مشكله بس اهم شي اصحابي عسي ما صار لهم شي كبير بس
2209,2237,لامافيهم شي واحد فيهم اتكسرت يده والتاني مجرد رضوض خفيفه لاتخاف عليهم
2210,2238,ممكن اشوفهم
2211,2239,وهوا خجلان من الي سواه اسف والله ماكنت اقصد بس كنت معصب مرره وانتو تدرو بلي عصبني
2212,2240,وهوا يعدل راسه علي المخده عايدي مو مهمه السياره بقدر ما انتو اهم
2213,2241,حرام عليكم انا دب انا انحف واحد فيكم ويلا بدون مطرود ابغا ارتاح
2214,2242,لو سمحتو تعبانه خلوه يرتاح
2215,2243,دكتور بنطلع
2216,2244,ه ياحبايبي انتو مكانكم بالفعل مو هنا
2217,2245,ايوه من جد انتو مكانكم هنا وياشر علي قلبه
2218,2246,وهوا يجر معاها امشي ياعم قبل ما يطردونا تاني خلنا نطلع بكرامتنا افضل
2219,2247,ويطلعو ويقعد يضحك علي حركات اصحابه الي من جد مايدري بدونهم ايش كان ممكن يسوي وتاخده الافكار لبعيد لبعيد الين بيت ابوه ولي ذكرياته معاهم ولي ولي جمعات العيله ولاولاد عمه ولامه ولا ابوه ولي اعمامه واصحابه ولي ماتلاحظو شي غريب
2220,2248,استغرب من مرور هالاسم علي باله وقعد يقول لنفسه ايش دخل فيا وليه اسمها مر ببالي يمكن لاني افتكرت الموقف الي صار معاها والله تلاقيها كبرت واكيد احلوت لالا هيا كانت اصلا حلوه وزي القمر لا بس اكيد احلوت لانها عليها قمر واحلي من القمر كمان اكيد صارت بالثنوي لاحظ تفكيره الي اتجه بقوه لعند وجلس مستغرب من نفسه ويقول لنفسه ايش هالغباء انا ايش دخلني فيها هالبنت مالي دخل فيها بس اهلي والله وحشوني ياربي متي يجي اليوم الي ارجعلهم اه وميه ااه كمان ايش هالغربه الي حطيت نفسي فيها والله اني اهبل بقراري دا والي كنت فرحان موت فيه مادريت اني اعز اهلي قد كدا وبعدين الموقف حق اليوم بيخليني اصر علي الرجوع للسعوديه باقرب وقت وقعد يفتكر الي صار معاه من يوم ما جاته ديك البنت الي زي القمر والي تقول للقمر بكل تواضع قوم وانا اقعد مكانك كانت غايه في الشياكه النعومه الرقه الذوق في اختيار الملابس واناقه المظهر
2221,2249,اخ ممكن شويه
2222,2250,تزهميني انا
2223,2251,ايوه انت لو سمحت
2224,2252,ايوه نعم امري
2225,2253,ما يامر عليك عدو الاخت هادي من السعوديه كمان وجات تدرس زي وليها اكثر من ثلاث سنين بامريكا وابوها يكون مسؤول كبير في الجامعه الي بيدرسو فيها الاتنين
2226,2254,انا بس حبيت اقول لو ممكن اعطيك رقم جوالي في موضوع خاص ابغا اكلمك فيه ضرووري
2227,2255,موضوع خااص
2228,2256,ايوه لو تسمح تعطيني رقم جوالك او انا اعطيك رقم جوالي
2229,2257,استغرب منها ايش تبغا هادي منه
2230,2258,ها موافق ولالا
2231,2259,طيب ما ينفع تقولي موضوعك هنا
2232,2260,لالالالا ابدا ما ينفع
2233,2261,ولا حتي في الكافتريا
2234,2262,لاء ما اقدر
2235,2263,بعد ماحاول يتحجج ومدري ايش استسلم واتبادلو الارقام واتفقو انهم يكلمو بعض في نفس اليوم بالليل
2236,2264,وفي الليل في بيته يدق الجوال بنغمه العيون حقت
2237,2265,مساء الورد والكادي بانعم واسحر صوت ممكن يسحر اي ولد
2238,2266,مستغرب من طريقه كلامها مساء النور
2239,2268,بس من فين تعرفي اسمي
2240,2269,يؤ يؤ شكلك مرره مضيع تري انا معك في نفس الفصل وبعدين انا اعرف عنك كل شي وانا لو اقول واشر علي اي احد اقدر اعرف عنه كل شي
2241,2270,عني انا وبعدين ليه يعني مين انتي عشان تقولي دا الكلام
2242,2271,ام عنك انت لسبب خاص وانا بنت اكبر مسؤول في الجامعه ويعني الي ابغا اعرفه اعرفه بدون نقاش
2243,2272,لمن جات كلمه خاص افتكر انه بيكلمها عشان موضوع خاص قالتله تبغا تكلمه فيه
2244,2273,ايوه صح ايش موضوعك الي تبغيني فيه ياحضره بنت المسؤول يقولها باستهزااء كبير
2245,2274,لازم دحين خليه بعدين
2246,2275,ايش بعدين هادي انتي مو مكلمتني عشانه
2247,2276,ايوه بس يعني ام
2248,2277,الي بدا يتشكك في وضعها اختي مع السلامه ولمن تفكري تقوليلي موضوعك دا رقمي عندك
2249,2278,لالالا لحظه خلاص بقولك
2250,2279,ها ايش هوا
2251,2280,انت ليه كدا عصبي خلنا في الاول نتكلم وندردش وبعدين انت علي فكره ما سالتني عن اسمي
2252,2281,مو لازم لانه مايهمني
2253,2282,افا مايهمك طب ليه بتكلمني
2254,2283,ايش الي ليه بكلمك يابنتي تراني مو زي الاولاد الي تعرفيهم انا بكلمك لانك تبيني في موضوع مهم حسب مافهمت منك ومافي سبب غير كدا يخليني اكلمك
2255,2284,طيب اولا انا بقولك اسمي انا اسمي وعمري سنه وتانيا موضوعي بقولك هوا بس خليني اتعرف عليك ونتاقش ونتافهم وبعدين عصب وسوي الي تبغا
2256,2285,الي خلاص عصب مره بس يا اخت احنا مابيننا لانقاش ولا كلام انتي قلتي تبغيني في موضووع وانا وافقت عشانه وبس غير كدا ماعندي كلام
2257,2286,طيب ليه عاد يعني ماعجبتك ولا شكلي ماعجبك ولا صوتي ولا ايش الموضوع
2258,2287,استغرب من وقاحتها وكلامها الفاضي ايش الي عجبتنك وماعجبتك والله من جد انك ماتستحي
2259,2288,شوف خلينا نتفاهم ونتكلم ولاتري مابيصير لك خير انت وهالاسلووب تقول هالكلام بطريقه وعيد وتهديد
2260,2289,وكمان تهددي ياوالله ماني ناوي انزل نفسي لمستواكي بس الي بقولك هوا هادي اخر مره تدقي علي دا الرقم انتي فاهمه ويقفل السماعه في وجهها
2261,2290,واتكرر كم مره اتصالها بس هوا مايرد وهوا صار يلاحظ وجودها فعلا في حصصه وكانت تنظر له نظرات غربيه خلته يتنرفز
2262,2291,وافتكر داك اليوم لمن جاته في
2263,2292,ممكن شويه
2264,2293,دقيقه شباب
2265,2294,وهوا يبتسم بخبث خد راحتك
2266,2295,وتجره من يده علي الطرف فيسحب يده منها وهوا مستغرب من جراتها ووقاحتها
2267,2296,خير ايش في تاني
2268,2297,انت ليه تعاملني كدا
2269,2298,لانك ببساطه قليله ادب
2270,2299,تشهق انا لييه ايش سويت
2271,2300,كتير واخرها مسكك ليدي قدام الناس والعالم
2272,2301,مافيها شي ولا تنسي هنا نحنا في امريكا وعايدي عندهم دا الشي ولو تسوي قدامهم شي اكبر ما بيقولو حاجه
2273,2302,الي مره متغاظ منها وعيونه تولع شرر انتي ماتقوليلي ايش تبغي مني
